unidad,jurisdiccion_nombre,responde_a,unidad_fundamento,unidad_fundamento_enlace,unidad_fundamento_publicacion,unidad_enlace,autoridad_apellido,autoridad_nombre,autoridad_genero,autoridad_fundamento,autoridad_fundamento_enlace,autoridad_fecha_inicio
Dirección de Servicios Técnico-Administrativos,Ministerio de Gobierno,Dirección General de Administración,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,CASTRO,Claudia Natalia,Femenino,Resolución 461/2021 del Ministerio de Gobierno,https://normas.gba.gov.ar/documentos/0PLL1Ph7.pdf,06/10/2021
Dirección Delegada de la Dirección Provincial de Personal,Ministerio de Gobierno,Dirección General de Administración,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,PALLAORO,María Inés,Femenino,Resolución 197/2026 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2026/197/589992,13/04/2026
Dirección de Informática,Ministerio de Gobierno,Dirección General de Administración,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,ENRIQUEZ,Jorge Ezequiel,Masculino,Resolución 587/2021 del Ministerio de Gobierno,https://normas.gba.gov.ar/documentos/Be4M59Cj.pdf,01/12/2021
DIRECCIÓN DE PRESUPUESTO,Ministerio de Gobierno,Dirección General de Administración,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,PASQUALINI,Bruno,Masculino,Resolución 87/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/87/422671,01/01/2024
DIRECCIÓN DE GESTIÓN DOCUMENTAL,Ministerio de Jefatura de Gabinete de Ministros,DIRECCIÓN PROVINCIAL DE ASUNTOS TÉCNICOS,Decreto 208/2022,https://normas.gba.gob.ar/documentos/Bj6v9dtw.pdf,23/03/2022,https://www.gba.gob.ar/jefatura,PEREYRA,Viviana Carolina,Femenino,Resolución 105/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/105/426554,01/03/2024
DIRECCIÓN DE COMUNICACIÓN INSTITUCIONAL,Ministerio de Jefatura de Gabinete de Ministros,DIRECCIÓN PROVINCIAL DE ASUNTOS TÉCNICOS,Decreto 208/2022,https://normas.gba.gob.ar/documentos/Bj6v9dtw.pdf,23/03/2022,https://www.gba.gob.ar/jefatura,,,,,,
Dirección de Distribución de la Información Clasificada,Ministerio de Gobierno,DIRECCIÓN PROVINCIAL DE DESPACHO  EXTERNO,Decreto 3/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/3/408105,,https://www.gba.gob.ar/gobierno,,,,,,
Dirección de Procesamiento de Datos e Información,Ministerio de Gobierno,Dirección Provincial de Análisis y Evaluación de Impacto,Decreto 4/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/4/408221,,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
Dirección de Seguimiento de Datos e Información,Ministerio de Gobierno,Dirección Provincial de Monitoreo de Datos e Información Estratégica,Decreto 4/2024,https://normas.gba.gob.ar/ar-b/decreto/2024/4/408221,,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
Dirección de Acceso a la Información Pública,Ministerio de Gobierno,Dirección Provincial de Fortalecimiento Institucional y Acceso a la Información Pública,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,FINGERMANN,Gastón,Masculino,Resolución 176/2022 del Ministerio de Gobierno,https://normas.gba.gob.ar/documentos/Bj65Gnuw.pdf,01/02/2022
Dirección de Fortalecimiento Institucional,Ministerio de Gobierno,Dirección Provincial de Fortalecimiento Institucional y Acceso a la Información Pública,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,SPALLATO,María Luján,Masculino,Resolución 99/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/99/424614,01/02/2024
Dirección de Reforma Política,Ministerio de Gobierno,Dirección Provincial de Asuntos Políticos,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,GHIGLIONE,Javier Natalio,Masculino,Resolución 64/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/64/420313,01/01/2024
Dirección de Coordinación Institucional,Ministerio de Gobierno,Dirección Provincial de Asuntos Políticos,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,MESSINA,Salomé Johanna,Femenino,Resolución 100/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/100/425811,01/02/2024
Dirección de Estudios de Población,Ministerio de Gobierno,Dirección Provincial de Población,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,MORALES PIZZO,Micaela,Femenino,Resolución 146/2024 del Ministerio de Gobierno,https://normas.gba.gob.ar/ar-b/resolucion/2024/146/428787,01/03/2024
Dirección de Políticas de Población,Ministerio de Gobierno,Dirección Provincial de Población,Decreto 207/2022,https://normas.gba.gob.ar/documentos/BdN8OqfO.pdf,11/03/2022,https://www.gba.gob.ar/gobierno,"_,_","_,_",Femenino,,,
